chinaname,id,all,allmen,allwomen,age15,age30,age60,age61,age40
北京,1,1849475,941325,908150,165539,544656,561917,250084,327279
天津,2,1127589,581562,546027,125213,302605,369252,162233,168286
河北,3,7037620,3554766,3482854,1203448,1800937,2131736,928642,972857
山西,4,3477805,1771808,1705997,602803,881450,1024088,414649,554815
内蒙古,5,2310941,1186071,1124870,332467,524754,764537,275828,413355
辽宁,6,4252076,2138602,2113474,493583,874467,1540110,672227,671689
吉林,7,2551123,1287411,1263712,315224,558409,898353,349177,429960
黑龙江,8,3465051,1749344,1715707,427635,734903,1210663,468616,623234
上海,9,2253525,1151331,1102194,200754,606477,707689,345592,393013
江苏,10,7577122,3792269,3784853,1007747,1766100,2420753,1247962,1134560
浙江,11,5400348,2761136,2639212,729646,1264346,1695146,759091,952119
安徽,12,5312628,2678455,2634173,1011868,1139068,1527515,853195,780982
福建,13,3477491,1773098,1704393,553332,898033,989477,420377,616272
江西,14,4251692,2188051,2063641,946493,954005,1128846,504043,718305
山东,15,9272503,4663609,4608894,1492786,2031161,2966384,1400109,1382063
河南,16,9224288,4650716,4573572,1976219,2201173,2553435,1196924,1296537
湖北,17,5226904,2658892,2568012,766275,1211074,1699126,779566,770863
湖南,18,6096586,3114294,2982292,1107269,1307339,1840324,939818,901836
广东,19,9676589,5023631,4652958,1665750,3014638,2358589,957360,1680252
广西,20,4362551,2249997,2112554,996642,938672,1161152,616828,649257
海南,21,826560,432579,393981,171168,222656,210668,93525,128543
重庆,22,2609882,1310663,1299219,460499,490598,794400,488115,376270
四川,23,8161604,4120256,4041348,1430089,1626980,2420241,1412294,1272000
贵州,24,3332265,1714400,1617865,860422,663929,849372,446686,511856
云南,25,4467537,2300361,2167176,955225,1045659,1156921,514563,795169
西藏,26,265904,134009,131895,66149,75843,57215,20828,45869
陕西,27,3614887,1848641,1766246,546253,937340,1093421,487378,550495
甘肃,28,2623094,1330609,1292485,491495,636951,757600,338325,398723
青海,29,535412,273891,261521,114633,129902,139524,51945,99408
宁夏,30,611957,311355,300602,134144,149723,157983,61207,108900
新疆,31,2086576,1061322,1025254,446572,539778,524696,201515,374015
全国,0,127339585,64754454,62585131,21797342,30073626,37711133,17658702,20098782
