provinceName,户数合计,家庭户户数合计,集体户户数合计,peopleNum,人口合计男,人口合计女,人口合计性别比,家庭户小计,家庭户男,家庭户女,家庭户性别比,集体户小计,集体户男,集体户女,集体户性别比,平均每户家庭人数
广东省,8373709,6837880,1535829,30263724,15506210,14757514,105.07,22516223,11387070,11129153,102.32,7747501,4119140,3628361,113.53,3.29
山东省,6854864,6465902,388962,22084120,11149176,10934944,101.96,19591998,9765914,9826084,99.39,2492122,1383262,1108860,124.75,3.03
江苏省,6097009,5705987,391022,18941223,9706924,9234299,105.12,16820068,8410576,8409492,100.01,2121155,1296348,824807,157.17,2.95
辽宁省,6045874,5900407,145467,18452887,9314261,9138626,101.92,17439573,8685490,8754083,99.22,1013314,628771,384543,163.51,2.96
湖北省,4846277,4553562,292715,16586745,8545930,8040815,106.28,14428247,7287655,7140592,102.06,2158498,1258275,900223,139.77,3.17
河南省,4097840,3877580,220260,13804537,7070418,6734119,104.99,12494703,6267264,6227439,100.64,1309834,803154,506680,158.51,3.22
浙江省,4303803,3939654,364149,13102802,6771791,6331011,106.96,11184155,5635014,5549141,101.55,1918647,1136777,781870,145.39,2.84
黑龙江省,4167771,4081187,86584,12730094,6448096,6281998,102.64,12130240,6094300,6035940,100.97,599854,353796,246058,143.79,2.97
上海市,4367738,4080617,287121,12720701,6589465,6131236,107.47,11362423,5689006,5673417,100.27,1358278,900459,457819,196.68,2.78
四川省,3934646,3715936,218710,12210543,6247812,5962731,104.78,10842521,5410986,5431535,99.62,1368022,836826,531196,157.54,2.92
河北省,3491923,3299360,192563,11498105,5815353,5682752,102.33,10337903,5130538,5207365,98.52,1160202,684815,475387,144.05,3.13
湖南省,3254404,3073356,181048,10496311,5379219,5117092,105.12,9330901,4701481,4629420,101.56,1165410,677738,487672,138.97,3.04
北京市,3183167,2917865,265302,9496688,4975203,4521485,110.03,8155168,4040435,4114733,98.19,1341520,934768,406752,229.81,2.79
吉林省,2899392,2826169,73223,9253228,4682167,4571061,102.43,8730188,4363502,4366686,99.93,523040,318665,204375,155.92,3.09
安徽省,2610903,2504210,106693,8434698,4338219,4096479,105.9,7752741,3906650,3846091,101.57,681957,431569,250388,172.36,3.1
福建省,2363090,2056354,306736,7824854,4045793,3779061,107.06,6345389,3185962,3159427,100.84,1479465,859831,619634,138.76,3.09
山西省,2162783,2070119,92664,7202987,3692451,3510536,105.18,6617182,3343136,3274046,102.11,585805,349315,236490,147.71,3.2
陕西省,2121341,1973145,148196,6904256,3566626,3337630,106.86,5997349,3013278,2984071,100.98,906907,553348,353559,156.51,3.04
重庆市,2154256,2030889,123367,6598225,3395741,3202484,106.03,5874007,2926321,2947686,99.28,724218,469420,254798,184.23,2.89
广西壮族自治区,1808857,1682864,125993,6195776,3212775,2983001,107.7,5399135,2742862,2656273,103.26,796641,469913,326728,143.82,3.21
内蒙古自治区,1850499,1784398,66101,5672201,2883486,2788715,103.4,5267965,2648195,2619770,101.09,404236,235291,168945,139.27,2.95
江西省,1584690,1499963,84727,5517032,2829968,2687064,105.32,4903913,2470741,2433172,101.54,613119,359227,253892,141.49,3.27
天津市,1762298,1693118,69180,5313702,2710200,2603502,104.1,4876724,2410391,2466333,97.73,436978,299809,137169,218.57,2.88
云南省,1534966,1407295,127671,4652662,2443256,2209406,110.58,3895915,1961410,1934505,101.39,756747,481846,274901,175.28,2.77
贵州省,1333338,1273432,59906,4366694,2267000,2099694,107.97,3980068,2011291,1968777,102.16,386626,255709,130917,195.32,3.13
新疆维吾尔自治区,1370339,1297989,72350,4272332,2200576,2071756,106.22,3850545,1935941,1914604,101.11,421787,264635,157152,168.39,2.97
甘肃省,1260610,1190396,70214,3937322,2053791,1883531,109.04,3519209,1775124,1744085,101.78,418113,278667,139446,199.84,2.96
海南省,448283,412962,35321,1682981,879814,803167,109.54,1465090,750266,714824,104.96,217891,129548,88343,146.64,3.55
宁夏回族自治区,382599,368707,13892,1200430,613996,586434,104.7,1115019,559456,555563,100.7,85411,54540,30871,176.67,3.02
青海省,315024,303009,12015,997053,516925,480128,107.66,921338,463302,458036,101.15,75715,53623,22092,242.73,3.04
西藏自治区,70202,65028,5174,217779,114159,103620,110.17,184347,90618,93729,96.68,33432,23541,9891,238,2.83
澳门,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台湾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
