chinaname,id,age0_m,age0_w,age9_m,age9_w,age19_m,age19_w,age29_m,age29_w,age39_m,age39_w,age49_m,age49_w,age59_m,age59_w,age69_m,age69_w,age79_m,age79_w,age89_m,age89_w,age99_m,age99_w,age100_m,age100_w
全国,0,32026,28191,36740,24034,43331,20226,86235,36978,154186,66305,328557,150327,551705,280031,812076,469746,1256534,905813,860382,907784,127340,226958,4671,11814
北京,1,81,70,108,69,176,79,568,227,830,384,2720,1121,5415,2546,6508,3964,14471,10670,11454,10653,2200,2731,93,160
天津,2,79,45,67,46,195,80,435,172,696,390,1969,974,3878,2047,4955,3547,8949,7640,7324,7409,1060,1522,29,60
河北,3,1357,1083,1470,863,2384,975,5840,1989,6926,2931,17384,8156,35675,18533,50555,30573,79165,60363,50489,55571,6119,10818,210,445
山西,4,775,756,614,414,1220,529,2294,745,3955,1493,8108,3844,14929,8116,21673,13260,36323,25794,20944,21046,2198,3285,63,123
内蒙古,5,526,359,340,243,566,262,1695,604,3259,1086,7179,2657,11334,5418,13400,8081,21518,15058,10839,9088,1101,1258,42,51
辽宁,6,426,296,487,309,957,416,2249,897,4676,1801,14103,5512,25780,12292,28632,18136,44654,36061,35183,34172,6203,7578,196,358
吉林,7,164,124,244,185,490,249,1341,621,2760,1142,7729,3416,13755,7496,16334,11616,21867,17400,12973,11688,1801,1981,92,114
黑龙江,8,230,153,313,243,685,316,1887,823,4386,1640,11534,4758,19606,10462,24966,16768,34676,24414,17558,13801,1998,2207,78,146
上海,9,250,160,218,139,184,114,606,284,797,436,2374,1185,7047,3348,8285,4101,16455,12036,20342,22347,4612,8486,106,377
江苏,10,859,644,1270,714,1551,773,3168,1467,5840,2896,16016,8372,31550,15690,49029,27024,79902,58635,67798,80082,11263,24060,291,920
浙江,11,1034,810,1192,805,1154,508,2430,1036,4514,1966,10635,4933,19793,8848,25702,12843,48603,32100,47086,48283,8058,14029,188,450
安徽,12,2029,1612,1459,770,1942,877,3239,1465,6710,3151,14295,7216,20224,10670,40363,20630,64113,42209,44117,49040,4893,10216,141,463
福建,13,772,678,650,439,1118,461,2415,1061,4000,1834,8069,3479,14068,5921,17681,8363,29884,20062,23427,27181,3864,8532,108,418
江西,14,1248,1250,2132,1299,1613,725,2476,1183,5626,2472,10382,4693,16679,7975,25697,13542,41865,28382,27192,27137,3506,5801,108,261
山东,15,1103,940,1332,849,2016,890,5710,2321,8809,4010,22517,10696,44176,21822,62487,35460,101073,75989,74755,86740,11835,23308,332,1036
河南,16,655,544,2132,1180,2750,976,5502,2193,9731,4019,22131,10610,38559,21709,61750,36444,89169,64866,54841,58767,6757,13212,260,834
湖北,17,1172,969,1182,744,1615,686,3191,1472,5508,2627,13555,6899,23088,12315,36939,20814,55314,39597,32240,37084,3396,7165,128,298
湖南,18,1136,933,2390,1447,1784,806,3897,1863,7039,3383,16343,8216,27038,14492,41351,23809,68067,47872,44702,44825,6184,9946,277,493
广东,19,1717,1551,1903,1250,3186,1439,5421,2404,8598,3887,18621,8289,31071,13674,42805,20498,74141,49071,56172,62513,10255,22352,498,1674
广西,20,1533,1310,1742,1088,1691,699,3832,1216,7474,2235,14032,4798,19428,7772,28388,13502,41808,27646,27784,27711,5324,9033,318,857
海南,21,371,395,306,167,385,137,643,236,921,301,1851,627,2371,939,3321,1535,5817,3594,4072,4279,771,1543,40,165
重庆,22,563,442,987,647,1049,510,1522,730,4022,1814,8679,3907,14666,6743,22468,12391,30523,21411,21214,21599,3365,5744,119,294
四川,23,1512,1260,3185,2167,3503,1818,5771,2785,13061,6124,23985,11047,41110,20614,64425,37267,85218,60875,59588,60536,9406,15817,430,994
贵州,24,3876,3823,2659,1644,2819,1446,4370,1771,8502,3158,12074,4904,14572,7231,22988,13793,33081,25058,17827,18520,2334,3908,107,213
云南,25,4270,4219,3739,2729,3383,1594,6376,2675,11447,4386,16832,7066,19371,10269,29443,18403,44194,33888,27589,29853,3484,5986,156,304
西藏,26,323,304,384,383,260,216,481,402,592,470,989,678,1172,809,1789,1435,1678,1643,784,919,83,115,7,5
陕西,27,383,318,727,516,1299,582,2832,1076,4413,1774,8945,4626,15140,9483,23850,16679,35611,27817,19800,18761,2432,3363,55,109
甘肃,28,1125,1188,876,745,1181,710,1965,1031,3317,1642,6602,3486,9103,5606,18141,12252,25765,19435,10777,9862,1174,1493,32,52
青海,29,488,394,787,639,652,472,954,696,1348,833,1934,956,2070,1274,3307,2316,4160,3371,1618,1654,136,212,6,10
宁夏,30,466,370,371,268,460,193,800,314,1111,480,1701,680,2117,1214,3286,2326,5317,3969,3027,2544,398,411,21,27
新疆,31,1503,1191,1474,1033,1063,688,2325,1219,3318,1540,5269,2526,6920,4703,11558,8374,13153,8887,6866,4119,1130,846,140,103
