age,wenmang_all,wenmang_m,wenmang_w,wenmangbizhong,wenmangbizhong_m,wenmangbizhong_w
15,60587,30004,30583,0.34 ,0.32 ,0.36 
16,58880,28344,30536,0.31 ,0.29 ,0.34 
17,61520,29215,32305,0.30 ,0.27 ,0.32 
18,63877,29848,34029,0.31 ,0.28 ,0.34 
19,66984,31172,35812,0.31 ,0.28 ,0.34 
20,91951,41224,50727,0.33 ,0.29 ,0.37 
21,95035,41104,53931,0.36 ,0.31 ,0.41 
22,97976,40771,57205,0.40 ,0.33 ,0.47 
23,108402,44791,63611,0.42 ,0.35 ,0.50 
24,107868,43300,64568,0.48 ,0.38 ,0.57 
25,110460,42991,67469,0.55 ,0.43 ,0.68 
26,112310,43090,69220,0.57 ,0.44 ,0.70 
27,116979,44839,72140,0.60 ,0.46 ,0.75 
28,136188,51543,84645,0.61 ,0.46 ,0.77 
29,133092,50047,83045,0.68 ,0.50 ,0.86 
30,151895,54835,97060,0.80 ,0.57 ,1.04 
31,158593,58180,100413,0.80 ,0.57 ,1.03 
32,174630,61953,112677,0.90 ,0.63 ,1.18 
33,171503,60778,110725,0.94 ,0.65 ,1.25 
34,207684,71357,136327,1.00 ,0.67 ,1.35 
35,228717,77681,151036,1.08 ,0.72 ,1.46 
36,259243,86534,172709,1.13 ,0.74 ,1.54 
37,287555,94206,193349,1.20 ,0.77 ,1.65 
38,314679,100855,213824,1.27 ,0.80 ,1.77 
39,330114,105031,225083,1.31 ,0.81 ,1.83 
40,397990,120778,277212,1.45 ,0.86 ,2.07 
41,395196,118471,276725,1.58 ,0.93 ,2.26 
42,453192,130239,322953,1.68 ,0.94 ,2.44 
43,396138,110608,285530,1.85 ,1.02 ,2.72 
44,454446,125279,329167,1.89 ,1.02 ,2.80 
45,466853,124771,342082,1.95 ,1.02 ,2.92 
46,475524,121090,354434,2.04 ,1.02 ,3.09 
47,543102,130889,412213,2.01 ,0.95 ,3.13 
48,492330,108199,384131,2.45 ,1.06 ,3.90 
49,315421,68906,246515,2.81 ,1.22 ,4.40 
50,425027,101848,323179,3.02 ,1.41 ,4.69 
51,461776,113131,348645,3.60 ,1.71 ,5.61 
52,696862,174695,522167,4.19 ,2.04 ,6.49 
53,859034,205217,653817,4.68 ,2.18 ,7.32 
54,879699,204268,675431,5.22 ,2.39 ,8.13 
55,1005848,234939,770909,5.71 ,2.62 ,8.93 
56,1121370,260214,861156,6.32 ,2.90 ,9.83 
57,1145870,269384,876486,7.12 ,3.33 ,10.96 
58,1262093,303877,958216,7.81 ,3.73 ,11.96 
59,1128206,273466,854740,8.23 ,3.98 ,12.52 
60,1210686,309605,901081,8.89 ,4.48 ,13.45 
61,1280635,335817,944818,9.83 ,5.02 ,14.90 
62,1203148,306458,896690,10.67 ,5.36 ,16.13 
63,1200908,302278,898630,11.13 ,5.50 ,16.96 
64,1181673,286894,894779,11.87 ,5.72 ,18.13 
65,1183294,290161,893133,13.04 ,6.36 ,19.81 
66,1234406,311444,922962,14.29 ,7.09 ,21.72 
67,1242306,316540,925766,15.64 ,7.91 ,23.50 
68,1281586,334090,947496,16.56 ,8.56 ,24.70 
69,1395400,366382,1029018,18.08 ,9.43 ,26.86 
70,1462486,395656,1066830,19.79 ,10.62 ,29.11 
71,1372360,372665,999695,21.90 ,11.96 ,31.74 
72,1632889,450557,1182332,23.69 ,13.06 ,34.33 
73,1604881,438040,1166841,25.30 ,13.91 ,36.53 
74,1635379,435478,1199901,26.90 ,14.69 ,38.51 
75,1637552,431127,1206425,29.07 ,16.02 ,41.01 
76,1603962,421158,1182804,30.99 ,17.16 ,43.46 
77,1670542,442577,1227965,32.87 ,18.29 ,46.13 
78,1480691,388259,1092432,34.80 ,19.57 ,48.10 
79,1332387,347947,984440,35.94 ,20.11 ,49.80 
80,1422054,372384,1049670,38.05 ,21.69 ,51.94 
81,1147065,295181,851884,40.72 ,23.47 ,54.65 
82,1163258,297133,866125,42.18 ,24.50 ,56.05 
83,961266,240701,720565,42.97 ,24.95 ,56.63 
84,811671,199341,612330,44.49 ,26.03 ,57.85 
85,3755680,827086,2928594,49.31,28.95,61.54
