chinname,hushu1949,jianshu1949,mianji1949,hushu1959,jianshu1959,mianji1959,hushu1969,jianshu1969,mianji1969,hushu1979,jianshu1979,mianji1979,hushu1989,jianshu1989,mianji1989,hushu1999,jianshu1999,mianji1999,hushu2000,jianshu2000,mianji2000,id
china,479305,1158404,32314176,367848,909066,24907040,931808,2477751,67670582,2840999,7977279,217793239,8210106,24920267,715854259,13032845,43183978,1338265997,13408061,46182007,1527633611,0
beijing,7913,14758,253401,13829,25229,559766,12683,26952,608402,35520,90251,2104823,135322,352414,9119112,182140,439258,13345097,267771,620951,22357156,1
tianjin,2773,4296,96152,3628,5640,128435,5302,10469,245511,29961,70379,1741531,102956,243144,6536060,111150,254434,8467221,100098,232309,9535566,2
hebei,11518,33746,784451,13545,37525,889299,44809,134184,3270934,184785,574233,14546877,520423,1764050,46970294,682076,2570344,73055891,578670,2244733,70986696,3
shanxi,27660,66965,1538371,17113,40553,912340,38444,99493,2208793,108031,302557,6974953,273598,823327,20622033,300503,945640,26762355,264368,837985,27447030,4
neimenggu,2768,5191,146055,6175,11077,297632,19624,37979,978057,69571,138738,3735312,175374,368363,10621182,242770,531826,16726328,266710,590864,21806989,5
liaoning,7211,16584,397203,14230,29458,722992,33443,82038,2021116,130650,319222,8368896,393188,912404,26101058,465433,1074627,34994336,429910,986110,36886556,6
jilin,2516,4946,141306,4862,9355,249245,17347,34857,935610,63982,137398,3713276,196343,451110,12791946,279487,675119,20825508,270105,635613,22063123,7
heilongjiang,3581,6459,189794,11418,20129,555065,37636,72348,2032174,127817,256156,7258021,306336,641891,18845777,368567,818919,26528831,322529,727922,26465094,8
shanghai,34159,45845,990988,14665,19762,495150,10541,15319,359658,29184,52252,1383389,172504,375398,11029067,283029,612997,20465724,266402,561602,21678081,9
jiangsu,13175,27281,836681,8695,19202,599811,20803,46827,1437198,105250,257826,8478848,527636,1515619,54798914,918247,2977906,114733754,798706,2575877,103478930,10
zhejiang,61647,120291,4011967,20270,41630,1388748,43120,94159,3159485,117975,270950,9371413,364705,989209,36464955,629513,1968604,75779004,668579,1945990,75492302,11
anhui,5419,15045,459961,5961,14323,395420,16121,40814,1102262,71298,193466,5115083,304188,926384,25299048,636025,2104427,63766068,661000,2460893,83843100,12
fujian,30629,78424,2010698,13918,39236,1047207,33427,99819,2714655,83241,273250,7763371,198776,707700,21780487,333684,1243101,42698079,378823,1344445,48665811,13
jiangxi,17226,46275,1277991,10725,28826,809833,29249,80448,2250048,85037,251740,7172309,204819,671510,20048433,342119,1305924,43375768,444684,2007527,68841763,14
shandong,23656,76386,1448223,24876,80538,1578143,71081,243000,4808070,245180,885938,18196052,713585,2708143,61521535,1038657,4020752,104217803,884813,3370569,100616000,15
henan,7560,26926,676967,9419,29746,732814,28254,90048,2134212,124131,425818,10154795,513890,1946248,48930581,1000758,4130493,110820780,906985,4256612,123660053,16
hubei,12157,33414,1095929,13812,36359,1157172,36961,103076,3363320,118129,329079,10650233,347415,1068881,36253089,522777,1791392,64501475,559845,2139010,79928713,17
huinan,21591,55932,1586372,19950,53561,1527986,58120,158504,4552116,158041,452943,13221712,386950,1253588,38333337,630109,2461449,80207984,540967,2354990,78021778,18
guangdong,38477,88841,2399046,21235,49150,1324793,56832,136415,3675366,155785,399295,10953938,462556,1312031,38368868,968153,2896107,88131572,1004381,2883370,87751532,19
guangxi,20750,54190,1521998,16104,41976,1140051,46165,120416,3168555,100734,272468,7163050,210272,639185,17373871,386031,1425026,41147711,536977,2190807,67083064,20
hainan,2783,6071,193706,2462,5150,174012,7673,15798,528940,20633,43920,1439465,46583,107683,3509569,69765,179512,6017726,65862,189462,6430276,21
chongqing,21026,53718,1885418,13929,35405,1179912,34042,90003,3022041,76137,211671,7049988,164370,490785,16048288,288940,956091,31814405,303765,981908,34966460,22
sichuan,42831,116501,3656317,27679,78816,2439993,79524,235394,7267979,230630,701469,21513842,554312,1771385,55184421,836436,2864199,91835293,917637,3282157,108299482,23
guizhou,22222,55812,1624551,22084,57114,1676388,53629,140759,4058961,101061,275685,7932538,179046,509095,14778951,249458,754438,22499080,378297,1313964,41631339,24
yunnan,23509,63107,1978748,17638,47161,1549537,44792,121657,4024838,107491,301969,9682250,269781,800955,25311901,374644,1158555,36361529,402566,1326940,44317299,25
xizang,397,1148,40717,217,715,26029,337,982,32862,803,2471,91235,2659,8067,273829,9355,30033,996606,53844,212569,6627660,26
shanxi,9260,23059,686196,12626,31113,888913,30799,80322,2315624,86471,236666,6770282,217259,652492,18939396,341667,1132053,34792656,384727,1312809,43110650,27
gansu,2549,9599,185645,4135,12469,250929,12091,40864,775253,43483,164269,3080137,142645,566122,10935711,250163,1005317,20424562,262539,1099216,24115311,28
qinghai,590,2012,46135,726,2252,52752,2154,6012,132720,6395,18062,393913,21229,64335,1437442,41727,136748,3127655,72366,238245,6232763,29
ningxia,325,871,26638,406,1083,32314,1355,3527,83154,5572,15013,351766,24010,67513,1671655,61395,177190,4785433,87604,250688,7691115,30
xinjiang,1427,4711,126551,1516,4513,124359,5450,15268,402668,18021,52125,1419941,77376,211236,5953449,188067,541497,15059763,326531,1005870,27601919,31
