chinname,lianzufang,qitazulin,zijianfang,shangpinfang,ershoufang,jinjishiyongfang,gongwu,qita,id
china,569511,4121744,24469158,4454150,1071625,856922,2682950,1044912,0
beijing,9586,213902,108408,118548,20620,32181,115100,36833,1
tianjin,8147,70260,107398,90153,16545,6302,32719,24344,2
hebei,13205,68398,1542698,194776,33767,34720,124373,23889,3
shanxi,15153,93760,641081,85999,17247,39872,105535,31070,4
neimenggu,11541,104906,393795,117398,52796,17769,63385,21402,5
liaoning,11957,109857,629188,321656,98712,56939,220681,25075,6
jilin,6276,51665,410744,152657,66526,36558,91801,18415,7
heilongjiang,9248,77664,529988,210816,133792,42543,150172,23661,8
shanghai,16628,304306,98049,203534,49492,2500,115758,20217,9
jiangsu,28315,273823,1415665,358213,61575,80774,125281,48866,10
zhejiang,25502,516818,941562,198158,72232,15795,63220,72522,11
anhui,14462,95728,1250613,148944,28379,33459,90026,38401,12
fujian,36309,182160,624092,96696,22345,11760,34707,64429,13
jiangxi,12073,63474,810825,114981,18366,9176,75316,29648,14
shandong,25507,115535,2171628,313961,52013,65579,197560,60065,15
henan,17103,91653,2080058,183741,27860,39765,117451,33366,16
hubei,19927,110488,1047186,166104,37921,27449,161217,40804,17
huinan,23841,85613,1351780,146128,26301,28926,112024,41115,18
guangdong,127443,682379,1256720,354479,52593,25468,107347,100990,19
guangxi,19586,84765,1019747,64404,10726,16174,64612,37019,20
hainan,6972,19759,140756,11187,2535,4864,18544,11144,21
chongqing,9649,83652,539648,145774,24801,32795,42101,23789,22
sichuan,30667,176282,1901134,268546,52346,55289,119621,85164,23
guizhou,11156,83812,760015,57942,11724,15413,39116,26619,24
yunnan,11965,111841,924402,59246,19432,22084,58496,32955,25
xizang,4620,8775,46748,619,445,2226,442,3737,26
shanxi,19206,105948,720682,87909,12443,23968,87064,25589,27
gansu,6004,41351,505717,63503,11387,17068,57932,14643,28
qinghai,2274,13658,83057,14492,4944,5483,13673,7606,29
ningxia,1901,19043,93900,33084,7356,7792,13188,4403,30
xinjiang,13288,60469,321874,70502,24404,46231,64488,17132,31
