chinaname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,id,all
北京,611869,7464,135313,23186,20933,22298,19137,36146,1668,16840,11573,37910,8829,12201,52198,83015,29010,13161,6195,2642,710,7398,27284,3121,2166,117,13884,11713,999,1507,3251,1,611869
天津,1489,181458,44952,5490,5542,4955,6425,14045,311,4164,2893,9915,2107,1739,30276,20227,6154,2017,1197,437,145,1534,5606,933,610,37,3375,3636,376,402,469,2,181458
河北,7235,6317,126498,4992,9853,6871,5693,19177,200,2977,3066,5528,1867,1721,7902,15458,5091,2176,848,730,287,1914,6515,1552,1186,100,3960,1770,474,337,701,3,126498
山西,612,518,11812,77081,7689,1218,1094,1371,110,2871,2545,3829,2019,1087,3803,15652,3659,1584,500,341,154,1522,5510,883,1055,25,4208,932,208,118,152,4,77081
内蒙古,662,634,15839,13289,119423,6068,5527,13073,94,2524,1969,3072,1416,1162,5478,8139,2615,1383,417,295,77,1324,6105,774,647,15,12179,10339,378,3678,251,5,119423
辽宁,834,833,6314,1448,17244,166909,28232,54839,339,4149,2795,7156,1935,1224,11495,10679,2840,1502,1007,356,127,1675,5983,562,446,66,1180,805,270,161,413,6,166909
吉林,374,330,1927,491,3565,5961,43216,13224,155,1272,1233,1945,620,440,4270,2210,1342,526,344,144,153,292,1026,197,183,27,321,195,146,82,221,7,43216
黑龙江,752,510,2421,572,5399,5322,11080,46048,242,1482,1187,2231,676,566,5697,2127,1479,648,459,217,150,375,897,258,227,15,395,376,79,65,144,8,46048
上海,2189,1156,6515,4371,2249,6093,5833,9609,859125,145272,44297,250125,25528,46432,36277,74244,38319,21601,7517,4594,859,21671,58824,13606,6599,118,11579,8825,1111,912,2800,9,859125
江苏,1352,840,7180,4267,1888,3485,3917,6505,7732,676009,25515,237711,13358,24184,36957,91431,35877,18554,4078,4346,509,16482,60650,25097,12797,182,18039,9113,1300,629,2034,10,676009
浙江,725,530,4377,2482,1382,2680,3245,5640,3784,34863,1206230,236925,16635,156815,19745,126010,89321,74603,4656,13860,596,60403,129985,149335,40675,122,17729,6171,851,653,1432,11,1206230
安徽,354,277,1759,763,464,641,655,869,1947,10323,5679,62325,2630,3606,2899,8328,4043,2792,1131,702,178,1368,3432,2601,2383,63,1258,578,262,74,266,12,62325
福建,348,326,1405,849,484,1180,1108,1755,461,3493,6283,21732,379676,85021,3641,24285,29886,20611,4555,5804,761,36870,72559,40456,8374,72,4736,1569,232,368,452,13,379676
江西,284,203,1060,932,775,498,412,441,735,2178,3931,4268,3806,48834,1434,3238,4477,5671,3143,1588,596,1056,2502,2699,741,35,788,731,162,207,243,14,48834
山东,1181,1108,12728,4700,7182,7554,18137,39187,504,11339,5860,11481,3580,2571,188271,23337,6717,2775,1368,716,301,1856,6518,2081,3927,95,4067,3611,1095,684,2011,15,188271
