chinaname,xiaoxue,chuzhong,gaozhong,benke,yanjiusheng,zhuanke,weishangxue,id
全国,26610954,58779160,42810179,14662627,1167542,19804048,3549013,0
北京,233867,565793,780185,870354,202117,618680,41624,1
天津,184262,530689,539796,288380,26001,291149,30118,2
河北,858355,2276812,1934623,513145,26883,881254,84322,3
山西,851458,2296646,1472752,293724,16554,538568,68515,4
内蒙古,1055582,2139590,1136995,351180,18605,552971,174975,5
辽宁,893266,3065558,1545950,786505,60137,826190,80655,6
吉林,542076,1499739,992547,359767,23110,377219,54550,7
黑龙江,836585,2119435,955209,438275,22817,413134,94475,8
上海,303256,814295,985671,674331,121469,600546,72075,9
江苏,1345457,3756541,2654410,1058259,82815,1386747,186090,10
浙江,1488731,2443301,1867652,742691,46507,883738,254982,11
安徽,1020323,2170052,1460985,476366,29718,716160,224214,12
福建,1277600,2330996,1468261,532023,27426,669469,120718,13
江西,885428,1575886,1068313,307930,16132,491394,93021,14
山东,1268894,3562779,3208198,1134787,75858,1604561,182209,15
河南,1037233,2666738,2803740,779902,42802,1305575,120098,16
湖北,993582,2823302,2272120,652079,48029,952855,183894,17
湖南,996090,2318724,1947978,557370,31900,926035,74114,18
广东,2119762,5816893,3945137,1046129,85368,1427545,187430,19
广西,885900,1966774,1366809,311611,15634,546760,80938,20
海南,178826,491573,317682,62566,3265,111023,22088,21
重庆,866501,1480953,1112516,309188,21464,432855,89806,22
四川,2117884,3570437,2425406,694054,41895,1067677,298597,23
贵州,1019652,1308683,665568,202052,7679,291308,159998,24
云南,1226020,1452654,998261,284710,15635,408067,187886,25
西藏,31034,14212,7082,8301,131,7974,23953,26
陕西,658036,1548467,1295079,423812,32448,662300,87062,27
甘肃,455442,845802,687768,199688,11407,286944,87868,28
青海,211877,202190,151187,50603,2244,81365,80037,29
宁夏,267425,378567,227861,60631,2607,105817,49543,30
新疆,500550,745079,514438,192214,8885,338168,53158,31
