chinaname,wugongjingshang,gongzuodiaodong,xuexipeixun,suiqianjiashu,toukaoqinyou,chaiqianbanjia,jiguahukou,hunyin,qita,id
全国,53598164,7923187,26012259,28996975,8194805,23536175,1750911,10395865,14653264,0
北京,415553,225672,280155,480566,252385,1043079,121873,264869,369603,1
天津,189496,40827,107079,181967,107652,729561,75955,132380,395807,2
河北,1459978,389657,1267238,1140026,280523,775096,104449,626187,849452,3
山西,1415414,341813,835852,1544792,158046,490241,46773,391478,608603,4
内蒙古,1868686,211696,664024,1370071,207963,628379,20715,309084,446090,5
辽宁,1558907,238400,797804,1021695,519183,2116791,127468,549069,594211,6
吉林,834078,145870,378172,767539,237719,931241,31263,267262,412534,7
黑龙江,1498838,138174,658885,933061,363921,677821,49085,327118,404528,8
上海,285380,87748,70031,420039,424373,1656325,75538,280808,408074,9
江苏,3837966,375426,1677442,1102432,531304,1651186,155002,728618,788190,10
浙江,2883154,231798,1121829,1285407,315997,1440989,73999,434382,289331,11
安徽,1734585,307156,1164314,984057,260984,781820,53118,420536,676575,12
福建,2814317,212696,885470,1075862,290719,877679,49125,257857,297198,13
江西,1252816,187317,853632,885928,218408,576119,63211,224175,440728,14
山东,3189999,843353,1997124,1924767,389955,1394124,198679,642903,1001824,15
河南,2252938,514070,2174577,1576199,249573,939785,56718,439285,968788,16
湖北,2464758,356491,1396895,1294429,363766,998124,94514,469384,798255,17
湖南,2356665,360365,1268330,1263848,272007,641096,37593,358327,615602,18
广东,7022026,444140,1799702,2705571,623885,1378078,87934,586500,661026,19
广西,1888899,254647,838801,959213,214182,401500,32872,483230,376661,20
海南,410072,64258,142741,315095,39380,64856,9989,115225,93351,21
重庆,1540132,191093,696483,619561,309362,597264,15808,181773,344106,22
四川,3856505,469197,1788027,1125622,729138,1044145,49570,590875,953500,23
贵州,1152539,159408,504536,823895,174366,325700,13261,366378,346165,24
云南,1919318,278272,671449,780846,199958,280804,37120,347661,301828,25
西藏,35386,10118,10156,12897,4806,5593,258,4517,12851,26
陕西,1494848,422556,970905,950200,139308,307236,18464,158948,457589,27
甘肃,826125,166573,475171,441603,101810,231222,25696,119781,291908,28
青海,197628,44509,83756,191942,34140,117006,4150,48847,100541,29
宁夏,296278,49823,132095,314405,44030,190561,5048,47398,86393,30
新疆,644880,160064,299584,503440,135962,242754,15663,221010,261952,31
