chinaname,id,year0,year1,year2,year3,year4,year5,year6
全国,0,20290696,18160765,12242352,8488107,5129390,3787180,17777847
北京,1,998722,1411816,1152275,869266,516093,346032,1750329
天津,2,789862,862540,326407,361407,110598,66392,474295
河北,3,390290,298180,181753,110801,63815,45070,314764
山西,4,307854,165591,102568,71958,41789,28367,213526
内蒙古,5,518772,260300,158874,110945,66966,46754,281570
辽宁,6,340035,392683,279297,198651,103618,70099,402147
吉林,7,103523,102899,72201,48164,21972,14407,93333
黑龙江,8,116502,108674,72550,45331,21895,14788,126657
上海,9,1314052,1606069,1329197,1036183,687609,546443,2457447
江苏,10,1656805,1583171,1117988,752316,470313,362129,1436531
浙江,11,3128447,2377510,1624172,1117506,757220,597937,2221185
安徽,12,245716,156360,95123,60702,30742,21618,107202
福建,13,1039609,851797,575761,401719,264527,197552,982637
江西,14,199062,160456,106361,43999,18947,12426,58691
山东,15,556503,438769,273091,183204,105895,77550,480581
河南,16,144733,143211,89850,57317,29628,19075,108320
湖北,17,245871,229010,158804,95827,47185,30956,205959
湖南,18,214777,171340,108205,67816,32422,20316,110106
广东,19,5650120,4914109,3126294,2005825,1237328,895689,3668422
广西,20,235417,197583,118439,71308,41024,28210,149825
海南,21,125691,115765,85848,56110,32155,22773,150121
重庆,22,236207,233074,151397,88182,45440,32650,158244
四川,23,308901,268963,167294,100475,52377,36707,193856
贵州,24,183433,152082,97113,63141,39217,30021,198287
云南,25,276879,213102,152187,109910,70811,54343,359317
西藏,26,33921,28677,21717,17363,11417,9487,42841
陕西,27,255649,243067,153262,88743,42045,28363,163233
甘肃,28,111715,79857,52387,35093,19477,14690,119614
青海,29,101507,50365,34884,25224,16343,12120,77992
宁夏,30,107299,72719,48495,32979,19395,13858,73706
新疆,31,352822,271026,208558,160642,111127,90358,597109
