nationality,ageall,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100,chinaname
all,1332810869,13786434,15657955,15617375,15250805,15220041,14732137,14804470,13429161,13666956,14248825,14454357,13935714,15399559,15225032,15893800,18024484,18790521,20775369,20755274,21543466,28026954,26556649,24474192,25695955,22658768,19933683,19709177,19480836,22322147,19568009,18928369,19866458,19474874,18179478,20689024,21186516,22906980,23990208,24730460,25211795,27397219,24956297,27032542,21355748,24012158,23962574,23355778,26972157,20075084,11228960,14097008,12838832,16617709,18351980,16847642,17610528,17738127,16093888,16167933,13701998,13618204,13029125,11276853,10791633,9951467,9073411,8640965,7942141,7740868,7715897,7389412,6265718,6893225,6343869,6080173,5632477,5175500,5082383,4254858,3706915,3737259,2816693,2757918,2237138,1824190,1648160,1344215,1065276,858879,715398,553805,371079,287676,209291,156456,117522,90889,68648,54689,38231,35934,合计
all-men,682329104,7461199,8574973,8507697,8272491,8246206,7988151,8034452,7292300,7423559,7726203,7830808,7522558,8288987,8161000,8463924,9524898,9795181,10760828,10744556,11079367,14201091,13357755,12281148,12876542,11292037,9969984,9879292,9801611,11271599,9914552,9604727,10141582,9909833,9289224,10576456,10817432,11690644,12283353,12662559,12937116,13993123,12723691,13782610,10856214,12253040,12252515,11867147,13803796,10224798,5628162,7205176,6624865,8570000,9422827,8540366,8973192,8981235,8099033,8153588,6875890,6917026,6690003,5719180,5492805,5015412,4564266,4391409,4003493,3904424,3884879,3724605,3116177,3449237,3149307,2964127,2690547,2454168,2420196,1983724,1730224,1716514,1257795,1212683,964710,765800,672819,530641,408984,324282,263084,193982,126484,94157,66717,49532,36268,28664,22045,18355,12384,8852,男性合计
all-women,650481765,6325235,7082982,7109678,6978314,6973835,6743986,6770018,6136861,6243397,6522622,6623549,6413156,7110572,7064032,7429876,8499586,8995340,10014541,10010718,10464099,13825863,13198894,12193044,12819413,11366731,9963699,9829885,9679225,11050548,9653457,9323642,9724876,9565041,8890254,10112568,10369084,11216336,11706855,12067901,12274679,13404096,12232606,13249932,10499534,11759118,11710059,11488631,13168361,9850286,5600798,6891832,6213967,8047709,8929153,8307276,8637336,8756892,7994855,8014345,6826108,6701178,6339122,5557673,5298828,4936055,4509145,4249556,3938648,3836444,3831018,3664807,3149541,3443988,3194562,3116046,2941930,2721332,2662187,2271134,1976691,2020745,1558898,1545235,1272428,1058390,975341,813574,656292,534597,452314,359823,244595,193519,142574,106924,81254,62225,46603,36334,25847,27082,女性合计
han-all,1220844520,12127390,13885592,13851851,13538898,13535142,13100667,13123274,11836935,12081219,12607228,12784288,12334105,13653513,13542426,14205781,16227994,16974520,18873075,18856024,19711532,25756401,24395042,22399979,23549894,20637016,18033389,17859480,17680902,20318031,17796530,17070809,18094839,17688042,16552492,18825046,19290637,20927084,22057382,22786637,23356661,25320556,23104603,25030546,19759534,22246263,22174634,21623432,25159710,18669694,10439423,13059326,11956566,15465579,17179447,15749590,16474258,16581435,15058755,15155831,12866834,12691092,12144005,10532403,10082456,9293402,8453669,8027825,7358575,7179763,7185764,6851409,5826533,6419158,5923299,5695453,5281155,4857184,4780225,3998285,3480148,3502945,2655163,2599608,2109825,1725159,1560203,1271730,1006063,811873,673730,519180,350586,270946,197585,147044,109807,84919,63839,50595,35445,32709,汉族
han-men,625032848,6576408,7628515,7567716,7363480,7354067,7124573,7144635,6450812,6586741,6859357,6951209,6681873,7373959,7281270,7583904,8593086,8864023,9790029,9776087,10147562,13067132,12278006,11242280,11795827,10276658,9013339,8944243,8889582,10252521,9008389,8663461,9228752,8998273,8449266,9616045,9842494,10667228,11283753,11660382,11974718,12929447,11769868,12753923,10037777,11344485,11335057,10982631,12872513,9501452,5229049,6678382,6172099,7978920,8824330,7984447,8393441,8393638,7574726,7637523,6456043,6448139,6233578,5346974,5136712,4689611,4260660,4083428,3714883,3627273,3623414,3459232,2901365,3216234,2944874,2779931,2525723,2304536,2276782,1865219,1626578,1611099,1185959,1143548,910148,724351,636655,501339,385777,305947,247241,181333,118994,88335,62790,46244,33592,26577,20306,16833,11389,7839,汉族男性
han-women,595811672,5550982,6257077,6284135,6175418,6181075,5976094,5978639,5386123,5494478,5747871,5833079,5652232,6279554,6261156,6621877,7634908,8110497,9083046,9079937,9563970,12689269,12117036,11157699,11754067,10360358,9020050,8915237,8791320,10065510,8788141,8407348,8866087,8689769,8103226,9209001,9448143,10259856,10773629,11126255,11381943,12391109,11334735,12276623,9721757,10901778,10839577,10640801,12287197,9168242,5210374,6380944,5784467,7486659,8355117,7765143,8080817,8187797,7484029,7518308,6410791,6242953,5910427,5185429,4945744,4603791,4193009,3944397,3643692,3552490,3562350,3392177,2925168,3202924,2978425,2915522,2755432,2552648,2503443,2133066,1853570,1891846,1469204,1456060,1199677,1000808,923548,770391,620286,505926,426489,337847,231592,182611,134795,100800,76215,58342,43533,33762,24056,24870,汉族女性
menggu-all,5981840,75717,85620,84455,82709,80855,79000,77656,67878,73026,73618,75892,70910,79471,82262,87031,99407,101156,104834,103449,101737,131840,126756,118026,121314,113140,110023,118416,115012,123142,106304,102810,100893,93016,83822,97727,101199,112321,113508,116350,116901,122217,104745,111363,90031,99393,99140,99803,111235,88574,57779,79711,65723,71924,74021,65789,66937,63699,53084,49290,43672,41750,39890,31772,30230,24964,22572,24551,20318,19182,20078,20160,18389,19114,16909,15417,13446,12193,10703,8451,7267,7392,5455,5406,4267,3378,2803,2146,1612,1349,1040,697,454,295,216,175,137,107,80,63,44,35,蒙古族
menggu-men,2999520,39983,44698,44266,43356,42180,41063,40395,35370,37881,38338,38984,36399,41258,42576,44234,50291,50593,52084,51214,50597,65096,62387,59059,60666,56531,54670,58847,57731,61746,53394,51553,50903,46778,42277,49053,50444,56357,56299,58045,58094,60923,52072,55077,44738,49059,49261,49185,55496,43937,28242,40094,32587,36027,36788,32315,33415,31891,26273,24401,21486,20753,19803,15686,14824,12168,11093,11944,9876,9435,9750,9641,8876,9197,8129,7346,6234,5843,5055,4026,3486,3532,2570,2638,2022,1563,1309,1003,740,578,475,310,206,107,89,62,60,44,28,29,20,13,蒙古族男性
menggu-men,2982320,35734,40922,40189,39353,38675,37937,37261,32508,35145,35280,36908,34511,38213,39686,42797,49116,50563,52750,52235,51140,66744,64369,58967,60648,56609,55353,59569,57281,61396,52910,51257,49990,46238,41545,48674,50755,55964,57209,58305,58807,61294,52673,56286,45293,50334,49879,50618,55739,44637,29537,39617,33136,35897,37233,33474,33522,31808,26811,24889,22186,20997,20087,16086,15406,12796,11479,12607,10442,9747,10328,10519,9513,9917,8780,8071,7212,6350,5648,4425,3781,3860,2885,2768,2245,1815,1494,1143,872,771,565,387,248,188,127,113,77,63,52,34,24,22,蒙古族女性
hui-all,10586087,142337,157634,157245,151826,148308,143913,147274,138346,142022,144625,150487,146156,159601,153888,157163,168760,173025,183251,189096,189232,236480,221535,207585,203566,183824,167908,163226,163126,185654,159392,168204,157897,163906,149793,166524,167860,173489,178771,184102,173869,202832,179279,191495,152532,166577,164762,170269,184603,141633,81011,102376,82920,110559,116303,112156,116719,117509,104651,103985,90747,96591,88023,72357,71552,68690,65267,58806,58143,57649,51475,52725,42253,45711,41639,37845,34634,32070,30313,24402,22351,22986,15361,15277,12221,10278,9422,7209,5933,4638,4182,3424,2133,1701,1211,999,749,631,448,400,266,304,回族
