chinname,jiankang_m,jiankang_w,bujiankang_m,bujiankang_w,zili_m,zili_w,bunengzili_m,bunengzili_w,id
all,4150213,3587960,3176142,3768899,1064729,1390538,216596,303625,0
beijing,51709,48156,48549,58519,13652,18430,4673,6396,1
tianjin,37875,34098,30285,36897,7267,9928,2602,3281,2
hebei,223831,195234,153799,187786,58852,77011,13581,18548,3
shanxi,92647,73739,77211,88498,29482,37682,6563,8827,4
neimenggu,63545,51989,49682,55630,19999,25237,4339,5407,5
liaoning,156959,133961,121123,149359,39662,52712,8338,10113,6
jilin,75118,62967,66330,78451,24949,32206,4328,4828,7
heilongjiang,106452,92795,85349,101405,32242,38604,5621,6148,8
shanghai,80339,70632,67199,83432,12607,18568,5200,7615,9
jiangsu,330740,295863,202380,261627,53329,74251,12095,17677,10
zhejiang,215946,184699,119703,146393,34152,40221,7769,10208,11
anhui,181502,140007,164907,189182,64084,84631,11419,17463,12
fujian,111845,97353,74194,89707,17525,21364,3412,4977,13
jiangxi,122278,102209,92353,114479,26779,35080,4521,6344,14
shandong,378178,351133,198008,264972,70278,100026,14924,22590,15
henan,295386,272062,187347,232632,72514,98798,14647,23538,16
hubei,153831,123258,163091,184327,55664,75813,9574,14008,17
huinan,185827,144440,197294,216375,74863,93124,11625,16270,18
guangdong,255966,236687,164524,202055,34418,46500,6820,10390,19
guangxi,145405,132146,111190,132556,33659,47607,5811,8454,20
hainan,20174,17632,17311,20498,6041,8989,1090,1790,21
chongqing,107015,88744,97514,104161,34797,40659,6530,8695,22
sichuan,303402,248307,282438,309567,99155,122728,19481,27216,23
guizhou,99935,89916,79296,91185,31448,39721,6748,8437,24
yunnan,116480,103458,93409,111579,29771,39785,8143,11938,25
xizang,2491,2619,4516,5589,1875,2603,422,713,26
shanxi,104722,89081,94348,107858,33210,42364,6815,8980,27
gansu,66042,52550,65796,71731,31297,38970,5049,6890,28
qinghai,10513,9293,10238,11552,3552,4884,756,1157,29
ningxia,13529,10962,11892,13343,4031,5431,879,1140,30
xinjiang,40531,31970,44866,47554,13575,16611,2821,3587,31
