chinname,laodong_m,laodong_w,tuixiujin_m,tuixiujin_w,dibao_m,dibao_w,caichanshouru_m,caichanshouru_w,jialiyang_m,jialiyang_w,others_m,others_w,id
china,3149749,1984168,2486510,1771898,353549,333975,35477,29613,2430873,4759749,151522,171619,0
beijing,9658,2949,91244,88431,3596,4995,532,576,12734,33235,819,1315,1
tianjin,12376,5204,50839,44330,1444,2001,219,160,12124,31287,1027,1222,2
hebei,189161,111541,108020,60264,16846,14232,988,768,127884,284411,7164,7363,3
shanxi,73137,32797,65251,30051,11073,10758,888,612,51994,130918,3560,3610,4
neimenggu,44031,21835,48443,27550,11841,13667,962,759,29685,70377,2603,4075,5
liaoning,87024,47734,172580,151314,8940,9861,1263,1137,53110,132077,3165,4022,6
jilin,49000,27130,73064,53491,6106,10011,1121,981,38285,83353,3149,3486,7
heilongjiang,51342,23680,113457,95077,7817,10387,1627,1256,50701,103286,4720,5266,8
shanghai,12397,5383,136513,143314,5172,8699,129,96,4855,12145,6279,10610,9
jiangsu,212473,151779,200448,151101,21069,19869,1765,1602,152147,312677,10642,12390,10
zhejiang,143082,61433,106013,81404,15279,13944,3951,3078,104686,216727,4559,4935,11
anhui,196323,121974,79872,46183,21486,16354,1191,1015,116413,238734,6627,7023,12
fujian,63370,24588,53075,31258,5604,3892,1492,946,80723,149990,2712,2727,13
jiangxi,84660,39513,65205,37098,9167,8648,608,419,82535,168108,3756,4326,14
shandong,304456,208080,141666,82500,16676,16047,1521,1313,185870,417473,11199,13308,15
henan,266832,193135,102806,61843,23794,19317,1728,1530,161233,336089,13501,15116,16
hubei,158400,104783,109013,79717,13310,12616,860,710,94732,192636,5845,6944,17
huinan,185070,100484,95548,56890,19739,15916,1682,1274,158505,286125,9065,9520,18
guangdong,124119,63120,137002,106452,14049,8532,3918,3327,174124,305813,8516,8388,19
guangxi,115971,89061,54277,34564,15971,11471,829,793,103506,179068,5511,5806,20
hainan,13410,9976,15218,11072,2452,2223,230,180,12295,24342,1011,1116,21
chongqing,97401,69037,61572,46989,13503,10518,645,553,67731,110414,5004,4748,22
sichuan,293504,215524,152476,100902,31459,24789,2142,1858,211363,350687,13532,14058,23
guizhou,80378,61581,37970,20676,17945,19420,912,860,76647,122452,3575,4270,24
yunnan,89400,70068,52841,29030,9116,10395,1301,1349,92606,153037,2539,2881,25
xizang,2735,2418,929,638,637,843,25,30,4610,7146,368,449,26
shanxi,84855,52831,65027,37079,11107,11749,1509,1407,71271,139104,5326,6113,27
gansu,57526,38285,33377,16658,9036,9901,531,402,64284,101061,3430,3834,28
qinghai,6199,3869,7695,3699,1053,1638,136,119,9472,17004,504,557,29
ningxia,9388,5214,10520,6875,1737,2099,174,128,8074,15994,438,566,30
xinjiang,32071,19162,44549,35448,6525,9183,598,375,16674,33979,1376,1575,31
