chinaname,jingjiPeople,feijingjiPeople,zhengzaigongzuo,zhanweigongzuo,shiyePeople,id
北京,1020455,652294,956085,21302,43068,0
天津,581836,410668,537405,13382,31049,1
河北,4094886,1664441,3778132,226345,90409,2
山西,1801393,1009156,1674324,54951,72118,3
内蒙古,1321004,627119,1186599,98422,35983,4
辽宁,2437622,1275953,2291700,53661,92261,5
吉林,1480029,729225,1365792,63209,51028,6
黑龙江,1940036,1060904,1609575,258532,71929,7
上海,1308691,732184,1245956,5505,57230,8
江苏,4591588,1890571,4466187,20519,104882,9
浙江,3385618,1226138,3253614,26773,105231,10
安徽,2962251,1249306,2857786,39450,65015,11
福建,2005135,875259,1931138,18868,55129,12
江西,2305307,937090,2239007,12198,54102,13
山东,5803432,1884975,5495610,198610,109212,14
河南,5153619,1971114,4619307,386970,147342,15
湖北,3126385,1265555,3006635,29228,90522,16
湖南,3499264,1420837,3342391,46963,109910,17
广东,5740925,2111754,5496123,28955,215847,18
广西,2530754,770512,2426186,21760,82808,19
海南,450576,190114,421295,5528,23753,20
重庆,1424331,682935,1366077,8504,49750,21
四川,4801677,1796824,4650951,37052,113674,22
贵州,1723117,681409,1657741,18499,46877,23
云南,2710172,728338,2661317,7104,41751,24
西藏,149281,45989,143756,4065,1460,25
陕西,2058807,953674,1952780,43281,62746,26
甘肃,1462388,615524,1343839,70480,48069,27
青海,296990,114524,278878,11591,6521,28
宁夏,334932,132214,318587,8507,7838,29
新疆,1163800,444223,1103097,29905,30798,30
全国,73666301,30150823,69677870,1870119,2118312,0
