age,working,zanweiwork,shiye
16,235801,6758,24392
17,452361,11471,39968
18,682245,16633,56136
19,884361,20452,68242
20,1354568,32917,96015
21,1441444,35773,102414
22,1524132,36839,107960
23,1771336,41272,113770
24,1655054,38034,91650
25,1494063,33986,70555
26,1504474,34075,61722
27,1500403,33767,55790
28,1746562,38410,59310
29,1533888,33926,46918
30,1494700,34459,43056
31,1571165,34080,43070
32,1551298,33408,41549
33,1457180,30665,38813
34,1663160,35015,42488
35,1714049,36266,44078
36,1861472,40984,46817
37,1948159,43808,49308
38,2025172,47133,50580
39,2065233,48209,51056
40,2259573,55472,55013
41,2044336,49948,48989
42,2227006,56288,51618
43,1760310,46449,38454
44,1988025,52489,43916
45,1958561,51706,45082
46,1888458,49698,45565
47,2154554,58888,54553
48,1600871,45100,38276
49,865102,26971,22386
50,1027882,34731,23761
51,899806,29401,19486
52,1174660,37853,24129
53,1283679,41897,24712
54,1161356,39938,21229
55,1172287,41726,19603
56,1139263,41432,17626
57,1011801,37563,14633
58,993719,37422,13237
59,796798,32258,9755
60,699253,28477,6355
61,631940,25358,4974
62,526973,20888,3926
63,476154,19213,3539
64,420842,16949,3038
65,362620,15045,2544
66,325810,12492,2189
67,273559,10182,1855
68,241252,9353,1723
69,218462,8471,1494
70,172331,6769,1279
71,124034,4695,862
72,125147,4565,934
73,104916,3934,813
74,91417,3458,773
75岁以上,342833,14700,4334
