,hour8,hour19,hour35,hour40,hour48,hour49,pingjun,id
全国,461198,1672396,9673918,21168240,9967433,26734685,45.16,0
北京,1473,3593,24759,623365,95120,207775,44.33,1
天津,1809,4585,25538,239638,68131,197704,47.05,2
河北,70291,176540,677962,1051446,363180,1438713,42.74,3
山西,16115,59221,280903,525198,181193,611694,43.51,4
内蒙古,6416,20940,130311,267769,111578,649585,49.26,5
辽宁,8333,42657,275546,815715,249250,900199,45.51,6
吉林,9519,29759,159733,398138,135662,632981,46.94,7
黑龙江,13099,46247,199301,494508,228143,628277,45.47,8
上海,853,3590,21037,806134,194676,219666,44.39,9
江苏,15251,75849,476359,1459421,800485,1638822,46.06,10
浙江,8026,36957,267224,830281,552699,1558427,49.41,11
安徽,18720,96102,529451,763816,360878,1088819,44.07,12
福建,6414,26193,209956,471715,314043,902817,48.49,13
江西,6903,27961,253188,651928,347268,951759,46.48,14
山东,34448,151597,821257,1499601,723685,2265022,44.99,15
河南,102925,299090,1033568,1360467,478781,1344476,40.03,16
湖北,13339,58348,466508,984984,410951,1072505,44.49,17
湖南,24054,116774,723137,958910,514966,1004550,42.21,18
广东,19042,48186,423110,1590528,1273530,2141727,47.53,19
广西,10048,35809,343731,650273,365184,1021141,45.79,20
海南,3061,6710,65473,117957,71370,156724,44.6,21
重庆,6447,27327,202619,476714,208829,444141,44.13,22
四川,21041,108181,835993,1513798,696376,1475562,43.19,23
贵州,7332,27852,240979,539196,211489,630893,44.92,24
云南,4377,17928,237639,574263,374141,1452969,49.24,25
西藏,1035,3251,23394,31935,21631,62510,45.67,26
陕西,11607,40098,275958,631555,229022,764540,45.63,27
甘肃,9914,39779,203979,345412,174602,570153,45.42,28
青海,2623,9038,44149,63010,33368,126690,45.9,29
宁夏,1464,6097,41722,92703,47258,129343,46.09,30
新疆,5219,26137,159434,337862,129944,444501,45.77,31
